nama_produk,nama_shade,kategori,brand,harga,rating
Milky Gel Lip Tint,Brunch,lip tint,Secondate,129000.0,3.5
Saemmul Real Tint,#1 Red,lip tint,The Saem,55000.0,3.9
Creamy Tint,Brick Town,lip tint,Emina,44000.0,4.2
Lip Tint,02 Tangerine Orange,lip tint,Syca,120000.0,4.2
Dear Darling Water Gel Tint,OR202 Orange Red,lip tint,Etude House,75000.0,3.5
Lip Creamtint,Simba,lip tint,Mirelle,109900.0,4.2
Ink Velvet,14 Rose Pink,lip tint,Peripera,100000.0,3.8
Ink Velvet,01 Sellout Red,lip tint,Peripera,80000.0,4.5
Super Stay Vinyl Ink Longwear Liquid Lipcolor,61 Risky,lip tint,Maybelline,132500.0,4.8
Ink Airy Velvet,Elf Light Rose,lip tint,Peripera,95000.0,3.9
Magic Potion,Sunglow,lip tint,Emina,46000.0,4.1
Velvet Lip Tint,Cheeky Rose,lip tint,3Ce,219000.0,4.6
Ombrella Lip Totem Tint,WDYT,lip tint,Somethinc,59000.0,4.5
Lovely Me Ex Aquaproof Marker Tint,Cherry,lip tint,The Face Shop,65000.0,3.8
DEWDROP! Lips and Cheek Tint,Cosmopolitan,lip tint,Rollover Reaction,109000.0,4.4
Powerstay Vivid Waterlite Lip Stain,A07 XOXO,lip tint,Make Over,105000.0,4.4
Get Inked!,02 Maroon Madness,lip tint,Pixy,55000.0,4.4
Fresh Cherry Lip Tint,PK002 Cherry Hot Pink,lip tint,Etude House,85000.0,3.7
Tintdorable Lip Stain,Coral,lip tint,Hanasui,20000.0,3.9
Vivid Cotton Ink,06 Fade Beige Tulip,lip tint,Innisfree,135000.0,4.0
WOW Long Lasting Lip Color,Rose Pink,lip tint,Monomola,50000.0,2.6
Zero Velvet Tint,06 Deep Soul,lip tint,Romand,150000.0,4.6
Urban Lip Cream Matte,13 Hazelnude,lip tint,Implora,24000.0,4.0
Ink Velvet,06 Celeb Deep Rose,lip tint,Peripera,85000.0,4.4
Tinted Lipcloud SPY X FAMILY Collection,Shine,lip tint,Jacquelle,139000.0,4.9
Tintdorable Lip Stain,Rosy,lip tint,Hanasui,18000.0,4.4
Glassy Lip Tint,01 Crepe,lip tint,Omg,27000.0,4.6
Urban Lip Cream Matte,03 Dark Berry,lip tint,Implora,17000.0,3.9
Jelly Tint,Berry Kiss,lip tint,Pigeon Teens,35000.0,4.2
Lip Tint Harry Potter Edition,Gryffindor - Courage,lip tint,Rose All Day Cosmetics,129000.0,4.3
Cloud Touch Fixing Lip Tint,R868 Sun 'n Fun,lip tint,You Beauty,93000.0,4.2
Cheek and Liptint,06 Pumpkin,lip tint,Implora,21000.0,4.1
UV Lip Tint,Summer Fling,lip tint,Masami,79000.0,4.2
Glossy Stain,02 Apple Shower,lip tint,Emina,47500.0,4.7
Dear Darling Water Gel Tint,BK801 Vampire Red,lip tint,Etude House,75000.0,3.7
Lip Tint,04 Caramel Beige,lip tint,Syca,120000.0,4.5
Creamy Tint,Sunbeam,lip tint,Emina,44000.0,4.3
Dear Darling Water Gel Tint,OR204 Cherry Red,lip tint,Etude House,40000.0,3.9
Khelir Cotton Lip Tint,Lia Love,lip tint,Sada Hybrid Beauty,79000.0,4.6
Urban Lip Cream Matte,10 Gingerbread,lip tint,Implora,22000.0,4.1
Tint Me!,03 That Orange,lip tint,Pixy,45000.0,4.0
Lip Crayon,Coral Crush,lip tint,Nivea,67500.0,4.2
Ultra Light Lip Stain,Apricot,lip tint,Luxcrime,109000.0,4.7
Eco Fruit Tint,Cherry,lip tint,Innisfree,60000.0,3.6
Seamless Days 3in1 Eye Cheek Lip Color,02 Playful Peach,lip tint,Base,105000.0,5.0
Jelly Tint,09 Rosewood,lip tint,Implora,19000.0,4.3
Delight Tony Tint,Red,lip tint,Tony Moly,50000.0,3.5
Urban Lip Cream Matte,01 Dusky Nude,lip tint,Implora,25000.0,4.1
Magic Potion,Sienna,lip tint,Emina,46000.0,4.2
Juicy Lasting Tint,05 Jujube,lip tint,Romand,143000.0,4.8
Dior Addict Lip Tattoo,351 Natural Nude,lip tint,Dior,450000.0,4.2
Tintdorable Lip Stain,Dreamy,lip tint,Hanasui,20000.0,4.4
Glossy Stain,03 Candy Rain,lip tint,Emina,47500.0,4.4
Peach Makes Perfect Lip Tint,01 Paradise Found,lip tint,Barenbliss,99000.0,4.1
Cherry Makes Cheerful Lip Velvet,01 Blushed Moment,lip tint,Barenbliss,69000.0,4.3
Super Stay Vinyl Ink Longwear Liquid Lipcolor,15 Peachy,lip tint,Maybelline,129900.0,4.1
Dior Addict Lip Tattoo,761 Natural Cherry,lip tint,Dior,450000.0,4.1
UV Lip Tint,Blind Date,lip tint,Masami,79000.0,5.0
Urban Lip Cream Matte,09 Butterscotch,lip tint,Implora,22000.0,3.8
Powerstay Glazed Lock Lip Pigment,D11 Pompous 2.0,lip tint,Make Over,149000.0,4.6
Lip Honey Tint Marker,Red,lip tint,Moko Moko,49000.0,3.9
Ink Velvet,07 Dollish Beige Rose,lip tint,Peripera,75000.0,4.4
Tintdorable Lip Stain,Bloody,lip tint,Hanasui,20000.0,4.1
Juicy Lasting Tint,04 Fig Fig,lip tint,Romand,169000.0,4.8
2 in 1 Color Tint,03 Tangerine,lip tint,Purbasari,35000.0,4.4
Milky Gel Lip Tint,Netflixx,lip tint,Secondate,129000.0,4.1
Super Stay Vinyl Ink Longwear Liquid Lipcolor,10 Lippy,lip tint,Maybelline,129900.0,4.3
Tintdorable Lip Stain,Cherry,lip tint,Hanasui,20000.0,4.6
Tint Me!,02 On Pink,lip tint,Pixy,45000.0,3.9
Dear Darling Water Gel Tint,RD301 Real Red,lip tint,Etude House,75000.0,3.8
Dear Darling Water Gel Tint,OR201 Kumquat Red,lip tint,Etude House,50000.0,4.1
Jelly Tint,08 Burnt Orange,lip tint,Implora,19000.0,4.5
Lip Crayon,Poppy Red,lip tint,Nivea,67500.0,4.4
Powerstay Transferproof Matte Lip Cream,B07 Amplify,lip tint,Make Over,120000.0,4.6
Water Light Tint,CR03,lip tint,Apieu,90000.0,4.0
Water Light Tint,RD03,lip tint,Apieu,90000.0,4.4
Everyday Cheek & Lip Tint,My Baerry,lip tint,Wardah,40000.0,3.8
Dior Addict Lip Tattoo,451 Natural Coral,lip tint,Dior,450000.0,4.2
Khelir Cotton Lip Tint,Rosy Rosi,lip tint,Sada Hybrid Beauty,79000.0,4.7
Lip Cream,13 Crown Tassia,lip tint,Raiku Beauty,118000.0,4.1
Lip Stain,Heather Peach,lip tint,Blp Beauty,99000.0,3.5
Urban Lip Cream Matte,02 Terracotta,lip tint,Implora,25000.0,3.8
Tinted Lipcloud X Shani Amelia,BFF,lip tint,Jacquelle,139000.0,4.2
Powerstay Vivid Waterlite Lip Stain,A03 Kiss Bang,lip tint,Make Over,105000.0,4.5
Ink Airy Velvet,Glimpse Brick Brown,lip tint,Peripera,85000.0,4.1
Colorburst Balm Stain,Honey,lip tint,Revlon,99000.0,3.5
Creamy Tint,Peach Crush,lip tint,Emina,44000.0,4.3
Tint Me!,01 In Red,lip tint,Pixy,45000.0,4.0
Peach Makes Perfect Lip Tint,04 Never Settle,lip tint,Barenbliss,69000.0,4.7
LipCloud - Disney 100 Mickey Minnie Edition,Oh Boy,lip tint,Jacquelle,159000.0,4.3
Plush Lip Tint,Créme Brulee,lip tint,Rose All Day Cosmetics,126000.0,4.6
Mini Liptint,Pink,lip tint,Odbo,25000.0,2.6
Dear Darling Water Tint,Cherry Ade,lip tint,Etude House,70000.0,3.8
Tintdorable Lip Stain,Peachy,lip tint,Hanasui,20000.0,4.0
Dior Addict Lip Tattoo,771 Natural Berry,lip tint,Dior,450000.0,4.2
Water Light Tint,CR02,lip tint,Apieu,0.0,4.0
Water Light Tint,RD04,lip tint,Apieu,80000.0,4.1
Everyday Cheek & Lip Tint,Pink On Point,lip tint,Wardah,40000.0,4.1
Cloud Touch Fixing Lip Tint,R688 Blushing Sky,lip tint,You Beauty,93000.0,4.9
Glossy Stain,04 Peach Sprinkles,lip tint,Emina,47500.0,4.3
Hydra Lip and Cheek Tint,Nude Whisper,lip tint,Mineral Botanica,51900.0,4.2
Tinted Lip Cloud,Kind,lip tint,Jacquelle,119000.0,5.0
LipCloud - Disney 100 Mickey Minnie Edition,First Kiss,lip tint,Jacquelle,159000.0,4.3
Tintdorable Lip Stain,Ruby,lip tint,Hanasui,20000.0,4.4
Color Sensational Lip Tint,07 Apricot,lip tint,Maybelline,120000.0,4.1
Super Stay Vinyl Ink Longwear Liquid Lipcolor,65 Saucy,lip tint,Maybelline,129900.0,4.2
Powerstay Transferproof Matte Lip Cream,B05 Fired Up,lip tint,Make Over,120000.0,4.8
Vivid Cotton Ink,08 Dried Tulip Nude,lip tint,Innisfree,135000.0,4.1
Tinted Lippie Cake,02 Choco Biscuit,lip tint,Azarine Cosmetic,49000.0,4.3
Magic Potion,Summer,lip tint,Emina,44000.0,4.3
Lip Cream,05 Earth Intan,lip tint,Raiku Beauty,118000.0,4.2
Cloud Touch Fixing Lip Tint,R567 Breezy Day,lip tint,You Beauty,93000.0,4.2
Dear Darling Water Tint,Strawberry Ade,lip tint,Etude House,70000.0,3.3
Tinted Lip Cloud Disney Winnie The Pooh Edition,Confident,lip tint,Jacquelle,119000.0,4.2
Lip Creamtint,Rose,lip tint,Mirelle,109900.0,4.2
Powerstay Glazed Lock Lip Pigment,D01 Lover,lip tint,Make Over,149000.0,3.9
Magic Potion,Scarlet,lip tint,Emina,46000.0,3.9
Stainiac Lip and Cheek Stain,DESCRIPTION,lip tint,Thebalm,325000.0,4.5
Everyday Cheek & Lip Tint,"RED, Set, Glow!",lip tint,Wardah,36.0,4.3
Lip Tint,Red Velvet,lip tint,La Tulipe,40000.0,3.7
Milky Gel Lip Tint,Naughty,lip tint,Secondate,129000.0,4.0
Cheek and Liptint,04 Red Wine,lip tint,Implora,21000.0,4.2
Cloud Touch Fixing Lip Tint,R199 Airy Kiss,lip tint,You Beauty,93000.0,5.0
Lip Stain,Wild Berries,lip tint,Blp Beauty,99000.0,3.3
Water Stain,02 Summer Peach,lip tint,Rabbit Habit,168000.0,4.2
Water Stain,05 Screen Siren,lip tint,Rabbit Habit,168000.0,5.0
Moist Dew Tint,01 Rosemilk Parfait,lip tint,Wardah,64000.0,4.2
Glassy Lip Tint,04 Burgundy,lip tint,Omg,27000.0,4.5
Super Stay Vinyl Ink Longwear Liquid Lipcolor,62 Irresistible,lip tint,Maybelline,121600.0,4.6
Plump Tint with Stain Formula,Shy,lip tint,Reveline,68000.0,3.9
Cloud Touch Fixing Lip Tint,R667 Puffy Sky,lip tint,You Beauty,0.0,4.2
Urban Lip Cream Matte,12 Brown Sugar,lip tint,Implora,22000.0,3.8
2 in 1 Color Tint,01 Scarlet,lip tint,Purbasari,35000.0,3.7
Dear Darling Water Gel Tint,PK002 Plum Red,lip tint,Etude House,75000.0,4.1
Fresh Cherry Lip Tint,RD301 Cherry Red,lip tint,Etude House,84000.0,3.6
Dior Addict Lip Tattoo,421 Natural Beige,lip tint,Dior,0.0,4.4
Dior Addict Lip Tattoo,491 Natural Rosewood,lip tint,Dior,460000.0,4.3
Tintdorable Lip Stain,Sweet,lip tint,Hanasui,20000.0,4.5
Lip Creamtint,Bailey,lip tint,Mirelle,109900.0,4.2
Liptone Get It TInt,06 Dark Night,lip tint,Tony Moly,95000.0,4.3
Stain Plump Tint,Humble,lip tint,Reveline,77000.0,4.3
Lip Tint,Cotton Candy,lip tint,La Tulipe,40000.0,3.3
Water Stain,04 Pretty Pitaya,lip tint,Rabbit Habit,168000.0,4.2
Ink Airy Velvet,My Brown Coral,lip tint,Peripera,95000.0,4.1
Milky Gel Lip Tint,Gallery,lip tint,Secondate,129000.0,4.0
Dear Darling Water Gel Tint,PK001 Berry Red,lip tint,Etude House,75000.0,3.5
Magnifique Lip Tint,3,lip tint,Madame Gie,23000.0,3.9
Super Stay Vinyl Ink Longwear Liquid Lipcolor,120 Punchy,lip tint,Maybelline,129900.0,4.6
Lip Creamtint,Stormi,lip tint,Mirelle,109900.0,4.3
Ombrella Lip Totem Tint,Twinnie,lip tint,Somethinc,59000.0,4.7
Cloud Touch Juicy Tint,R277 Pink Fizz,lip tint,You Beauty,77000.0,5.0
Wine Lip Tint,RD01 Shiraz Red,lip tint,Labiotte,150000.0,3.6
Lip and Cheek Stain,Pink Rose,lip tint,The Body Shop,179000.0,3.0
Water Stain,03 Amarena Cherry,lip tint,Rabbit Habit,168000.0,4.3
Sugar Glow Tint,1 Strawberry Sweet,lip tint,Peripera,116000.0,4.0
Benetint Cheek & Lip Stain,DESCRIPTION,lip tint,Benefit,500000.0,3.5
Powerstay Glazed Lock Lip Pigment,D07 Hallway,lip tint,Make Over,149000.0,4.2
Tinted Lipcloud SPY X FAMILY Collection,Eclipse,lip tint,Jacquelle,139000.0,4.2
Posietint Cheek & Lip Stain,DESCRIPTION,lip tint,Benefit,500000.0,3.4
Color Sensational Lip Tint,01 Punch,lip tint,Maybelline,119000.0,3.9
Tinted Lipcloud X Shani Amelia,Love,lip tint,Jacquelle,139000.0,5.0
Lip and Cheek Stain,Bright Peony,lip tint,The Body Shop,209000.0,3.9
Lip Tint,Butter Scotch,lip tint,La Tulipe,38000.0,3.2
Creamy Tint,Cherry Soda,lip tint,Emina,44000.0,4.3
Cloud Touch Fixing Lip Tint,P796 Misty Night,lip tint,You Beauty,93000.0,4.9
Lip Tint,Peach Cake,lip tint,La Tulipe,40000.0,3.5
Dior Addict Lip Tattoo,541 Natural Sienna,lip tint,Dior,540000.0,4.3
Ink Velvet,05 Inktude Rose,lip tint,Peripera,85000.0,4.1
Peach Makes Perfect Lip Tint,06 Brave Enough,lip tint,Barenbliss,69000.0,4.2
Ink Airy Velvet,Pretty Orange Pink,lip tint,Peripera,95000.0,4.0
Tinted Lip Cloud,Gentle,lip tint,Jacquelle,119000.0,4.2
Cheek and Liptint,01 Vampire Blood,lip tint,Implora,21000.0,4.2
Seamless Days 3in1 Eye Cheek Lip Color,01 Cozy Caramel,lip tint,Base,105000.0,4.2
Dear Darling Water Gel Tint,PK003 Sweet Potato Red,lip tint,Etude House,70000.0,4.0
Ombrella Lip Totem Tint,Nikola,lip tint,Somethinc,59000.0,4.2
Rosy Tint Lips,#6,lip tint,Etude House,100000.0,2.9
Lipill,Butterscotch,lip tint,Madame Gie,18000.0,4.3
Magic Potion,Sassy,lip tint,Emina,46000.0,3.8
Juicy Berry Tint,Peachy,lip tint,Solcare,49900.0,4.3
Ultra Light Lip Stain,Glasstonberry,lip tint,Luxcrime,109000.0,4.4
Powerstay Transferproof Matte Lip Cream,B03 Hype,lip tint,Make Over,120000.0,4.5
Lip Stain,Grenadine Red,lip tint,Blp Beauty,99000.0,3.7
Creamy Tint,Wild Berry,lip tint,Emina,44000.0,4.4
Lip and Cheek Stain,Dark Cherry,lip tint,The Body Shop,209000.0,3.8
Water Stain,01 Cherry Blossom,lip tint,Rabbit Habit,168000.0,5.0
Colorfit Velvet Matte Lip Mousse,13 Sweet Cinnamon,lipstick,Wardah,73000.0,4.4
Lip Velvet,01 Pretty Please,lipstick,Azzura,64500.0,4.4
Rouge Signature Liquid Lipstick,103 I Enjoy,lipstick,L'Oreal Paris,150000.0,4.6
Exclusive Matte Lip Cream,06 Feeling Red,lipstick,Wardah,66500.0,4.2
Rouge Edition Velvet,Happy Nude Year,lipstick,Bourjois,188000.0,3.6
Soft Matte Lip Cream,Stockholm,lipstick,Nyx,125000.0,3.8
Lip Cream,08 Delicate Pink,lipstick,Pixy,45000.0,3.5
Ultra Matte Lip,Bumble,lipstick,Colourpop Cosmetics,145000.0,3.5
Color Sensational Creamy Mattes Lipstick,Clay Crush,lipstick,Maybelline,55000.0,4.5
Color Stick Matte Crayon,104 Blake,lipstick,Make Over,99000.0,4.3
Perfect Matte Lip Coat,Dear Felice,lipstick,Dear Me Beauty,109000.0,4.7
The Powder Mattes by Color Sensational,Mauve It Up,lipstick,Maybelline,55000.0,3.9
Everyday! Matte Lip Shot,03 #nowplaying,lipstick,Wardah,45000.0,4.2
Rouge Signature Liquid Lipstick,115 I Am Worth It,lipstick,L'Oreal Paris,150000.0,4.4
Perfect Matte Lip Color,705 Mocha,lipstick,Viva Cosmetics,34000.0,4.3
Soft Matte Lip Cream,Buenos Aires,lipstick,Nyx,125000.0,3.5
Lip Cream,02 Party Red,lipstick,Pixy,45000.0,3.6
Intense Matte Lipstick,04 Mauve Mellow,lipstick,Wardah,46000.0,3.9
Waterproof Matte Liquid Lipstick,Chestnut,lipstick,Focallure,74000.0,2.8
Super Lustrous Lipstick Matte,Mauve it Over,lipstick,Revlon,65000.0,3.7
Perfect Matte Lip Coat,Dear Winna,lipstick,Dear Me Beauty,109000.0,4.4
Superstay Matte Ink Liquid Lipstick,Loyalist,lipstick,Maybelline,115000.0,3.8
Creamatte Lip Cream,Chocolava,lipstick,Emina,47500.0,4.1
Oh My Glam Matte Kiss Lip Cream,11 Bumble,lipstick,Omg,25000.0,4.6
Lip Paint,03 Holy Berry,lipstick,Zoya Cosmetics,65000.0,4.0
Pure Moist Lips,Rose,lipstick,Nameera,67000.0,3.5
Exclusive Matte Lip Cream,15 Pinky Plumise,lipstick,Wardah,55000.0,4.2
Perfect Matte Lip Coat,Dear Daisy,lipstick,Dear Me Beauty,109000.0,4.7
Long Lasting Lipstick,11 Cherrie Glam,lipstick,Wardah,42000.0,3.3
Super Lustrous Lipstick,Almost Nude,lipstick,Revlon,37000.0,3.5
Magnifique Lip Liquid Matte,407 Pretentious,lipstick,Madame Gie,30000.0,2.9
Meet Matt(e) Hughes Long-Lasting Liquid Lipstick,Sincere,lipstick,Thebalm,260000.0,4.6
Superstay Matte Ink Liquid Lipstick,Fighter,lipstick,Maybelline,115000.0,4.3
Lipstick Color Matte,88 Amethyst,lipstick,Purbasari,32000.0,3.8
Lip Velvet SPY x Family Edition,Lucky,lipstick,Jacquelle,139000.0,4.2
Matte It Perfect Lip Cream,Summer Peach,lipstick,Safi,97000.0,4.6
Poppin Matte,05 Easy Peasy,lipstick,Emina,48000.0,4.6
Superstay Matte Ink Liquid Lipstick,Pioneer,lipstick,Maybelline,115000.0,4.6
Intense Matte Lip Cream,012 Couture,lipstick,Make Over,100000.0,4.1
Matte Lipstick,04 Peach perfect,lipstick,Azzura,43200.0,4.4
Intense Matte Lip Cream,004 Vanity,lipstick,Make Over,100000.0,4.4
Valipcious Velvet Matte,Amore,lipstick,Mizzu,79000.0,4.0
Rouge Signature Liquid Lipstick,119 I Dream,lipstick,L'Oreal Paris,150000.0,4.6
Mattedorable Lipcream,05 Classy,lipstick,Hanasui,30000.0,4.8
Color Riche Matte Lipstick,202 Maple Mocha,lipstick,L'Oreal Paris,69000.0,4.5
Infallible Matte Resistance,115 Snooze Your Alarm,lipstick,L'Oreal Paris,139000.0,4.2
Sueded! Lip and Cheek Cream,Umma,lipstick,Rollover Reaction,119000.0,4.3
Superstay Matte Ink Blushed Edition,365 Enthusiast,lipstick,Maybelline,125000.0,4.8
Sueded! Lip and Cheek Cream,Lucy,lipstick,Rollover Reaction,119000.0,3.8
Lipstick Color Matte,86 Topaz,lipstick,Purbasari,32000.0,4.2
Soft Matte Lip Cream,Ibiza,lipstick,Nyx,125000.0,3.8
Lip Mousse Records,Groovy Theory - Reformulation in February 2023,lipstick,Rose All Day Cosmetics,99000.0,4.3
Intense Matte Lip Cream,003 Secret,lipstick,Make Over,100000.0,4.1
Soft Matte Lip Cream,Cannes,lipstick,Nyx,125000.0,4.1
Intense Matte Lipstick,01 Socialite Peach,lipstick,Wardah,46000.0,3.5
Everyday! Matte Lip Shot,01 #fyp,lipstick,Wardah,45000.0,4.8
Exclusive Matte Lip Cream,12 Plum It Up,lipstick,Wardah,66500.0,4.1
Perfect Matte Lip Coat,Dear Rachel,lipstick,Dear Me Beauty,109000.0,4.4
Matte In Love,Merry Orange,lipstick,Pixy,43000.0,4.3
Matte Cream,Adorable Nude,lipstick,Lip Ice,46.0,3.8
Colorfit Last All Day Lip Paint,Red Repeat,lipstick,Wardah,65000.0,4.2
The Powder Mattes by Color Sensational,Touch of Nude,lipstick,Maybelline,55000.0,4.1
Exclusive Matte Lip Cream,13 Fruit Punch,lipstick,Wardah,66500.0,4.2
Infallible Matte Resistance,150 Lazy Sunday,lipstick,L'Oreal Paris,139000.0,5.0
Glasting Liquid Lip,06 Ruby Sparks,lipstick,Wardah,93000.0,4.1
Lip Color Lipstick,J-39,lipstick,Just Miss Cosmetics,15000.0,3.5
Super Lustrous Lipstick,Nude Velvet,lipstick,Revlon,37000.0,3.8
Super Lustrous Lipstick,Pink in the Afternoon,lipstick,Revlon,35000.0,3.7
Sensational Liquid Matte,Best Babe,lipstick,Maybelline,65000.0,4.1
HI-MATTE Lip Cream,01 Vinca,lipstick,Purbasari,52800.0,3.1
Perfect Matte Lip Coat,Dear Luna,lipstick,Dear Me Beauty,109000.0,4.3
Long Lasting Lipstick,03 Simply Brown,lipstick,Wardah,49000.0,3.8
Oh So Kissable Lipstick,08 Fantasti Cho,lipstick,Emina,25000.0,3.7
Lip Cloud,Star - Reformulation in August 2022,lipstick,Jacquelle,109000.0,4.5
Mattedorable Lipcream,08 Fancy,lipstick,Hanasui,30000.0,4.7
Color Sensational Vivid Matte Lipstick,MAT 12,lipstick,Maybelline,110000.0,3.1
Colorfit Last All Day Lip Paint,Peach Till Drop,lipstick,Wardah,65000.0,4.0
Exclusive Matte Lip Cream,14 My Honey Bee,lipstick,Wardah,59000.0,3.8
Lip Gradation,Mauve 1,lipstick,Maybelline,109000.0,4.2
Exclusive Matte Lip Cream,17 Rosy Cheek,lipstick,Wardah,66500.0,4.1
Soft Matte Lip Cream,Monte Carlo,lipstick,Nyx,125000.0,4.2
Rouge Signature Liquid Lipstick,116 I Explore,lipstick,L'Oreal Paris,150000.0,4.4
Soft Matte Lip Cream,Istanbul,lipstick,Nyx,125000.0,3.8
Stay Matte Lip Cream,4,lipstick,La Tulipe,52500.0,3.7
MegaLast Lip Color,Just Peachy,lipstick,Wet N Wild,98000.0,2.9
Lip Cream,Sweet Candy,lipstick,Mahana,89000.0,4.2
Superstay Matte Ink Liquid Lipstick,Globetrotter,lipstick,Maybelline,115000.0,4.3
Daily Mood Lip Cream,305 Cozy Rosy,lipstick,Nacific Cosmetics,120000.0,4.4
Cliquematte Lip Stylo,201 Eclair,lipstick,Make Over,115000.0,4.3
Matte It Perfect Lip Cream,Pink Blossom,lipstick,Safi,97000.0,4.6
Long Lasting Matte Lip Cream,4,lipstick,Lt Pro,95000.0,4.0
Lip Cream,06 Bold Maroon,lipstick,Pixy,45000.0,4.2
Sensational Liquid Matte,Made Easy,lipstick,Maybelline,65000.0,4.3
Lip Cream,10 Sweet Choco,lipstick,Pixy,45000.0,4.1
Colorfit Fresh Matte Lip Ink,06 Hyped Up,lipstick,Wardah,62000.0,4.8
Lip Velvet SPY x Family Edition,Bloom,lipstick,Jacquelle,139000.0,5.0
Sensational Liquid Matte,BDay Suit On,lipstick,Maybelline,65000.0,4.1
Intense Matte Lipstick,03 Peach Perfect,lipstick,Wardah,46000.0,4.0
Superstay Matte Ink Un-Nude Liquid Lipstick,Ruler,lipstick,Maybelline,103000.0,4.4
Matte In Love,Exotic Nude,lipstick,Pixy,43000.0,4.3
Mattedorable Lipcream,07 Spark,lipstick,Hanasui,30000.0,4.7
Super Lustrous Lipstick,Ginger Rose,lipstick,Revlon,33000.0,3.8
Sueded! Lip and Cheek Cream,Lizzy,lipstick,Rollover Reaction,119000.0,4.0
Meet Matt(e) Hughes Long-Lasting Liquid Lipstick,Charming,lipstick,Thebalm,260000.0,4.1
Lip Couture,Latte Confession,lipstick,Lasplash,140000.0,3.5
Soft Matte Lip Cream,Copenhagen,lipstick,Nyx,125000.0,4.1
Glasting Liquid Lip,12 Shine Sorbet,lipstick,Wardah,93000.0,4.9
Moisture Boost Lipcolor Balm,Rose,lipstick,Silkygirl,59500.0,3.8
